filename,trial number,condition,target,face up,target up,analysis perioid len,last time in center aoi,first time in side aoi,valid gaze c %,longest non-valid combined,% inside center aoi bef disengagement,aoi border violation ,technical error,combination,csaccpindex,all time center
TV10_Face1.gazedata,0,happy.bmp,4,1000.0042,2982.812,1299.9932,266.6602,283.3262,1,0,0.98718,0,0,266.6602,0.13725,0.8334
TV10_Face1.gazedata,1,fearful.bmp,5,1000.1211,2968.9438,1566.6902,533.2769,549.957,1,0,0.98935,0,0,533.2769,0.45091,0.76955
TV10_Face1.gazedata,2,control.bmp,5,999.9041,2982.938,1883,849.7739,866.4338,1,0,0.99115,0,0,849.7739,0.82326,0.64168
TV10_Face1.gazedata,3,happy.bmp,4,1000.0498,2965.9988,1349.9468,316.5098,333.1758,1,0,0.98765,0,0,316.5098,0.19589,0.84944
TV10_Face1.gazedata,4,neutral.bmp,4,1000.0129,2970.1992,1633.303,599.9612,616.6311,1,0,0.98979,0,0,599.9612,0.52937,0.81187
TV10_Face1.gazedata,5,neutral.bmp,4,1000.0569,2966.6072,1300.02,266.645,283.3062,1,0,0.98718,0,0,266.645,0.13723,0.57746
TV10_Face1.gazedata,6,neutral.bmp,5,1000.1619,2966.415,1516.6648,483.1641,499.8269,0.94565,16.6729,0.82431,0,0,483.1641,0.39196,0.58582
TV10_Face1.gazedata,7,control.bmp,4,1001.364,2968.491,1518.1379,483.4441,500.113,0.72826,333.99,0.98902,0,1,-1,-1,0.5648
TV10_Face1.gazedata,8,control.bmp,4,1000.4441,2972.0151,1783.771,749.998,766.6641,0.88889,16.678,0.53288,0,1,-1,-1,0.24664
TV10_Face1.gazedata,9,neutral.bmp,5,999.875,2983.2739,1333.249,300.011,316.7209,1,0,0.98747,0,0,300.011,0.17648,0.85831
TV10_Face1.gazedata,10,fearful.bmp,4,1000.2981,2966.5261,1350.0291,316.394,333.0562,1,0,0.98766,0,0,316.394,0.19576,0.54809
TV10_Face1.gazedata,11,control.bmp,5,1001.1111,2964.73,1995.9651,-1,-1,0.42857,1161.417,0.39308,0,1,-1,-1,0.197
TV10_Face1.gazedata,12,fearful.bmp,4,1003.7441,2976.124,1270.375,233.25,249.916,0.97436,16.667,0.98688,0,0,233.25,0.097941,0.53891
TV10_Face1.gazedata,13,happy.bmp,5,1000.0591,2960.6499,2000.0339,-1,-1,0.8595,33.2939,0.19168,0,1,-1,-1,0.23905
TV10_Face1.gazedata,14,happy.bmp,5,1002.8772,2978.27,1638.6292,602.4429,619.105,1,0,0.98983,0,0,602.4429,0.53229,0.40572
TV10_Face1.gazedata,15,fearful.bmp,5,989.825,2888.231,1988.325,-1,-1,0.5678,417.562,1,0,1,-1,-1,1
TV10_Face2.gazedata,0,fearful.bmp,5,999.97,2961.439,1616.8369,583.5359,600.2048,1,0,0.98969,0,0,583.5359,0.51004,0.88646
TV10_Face2.gazedata,1,fearful.bmp,5,1000.396,2966.4402,1333.4861,299.769,316.4331,1,0,0.9875,0,0,299.769,0.1762,0.85344
TV10_Face2.gazedata,2,neutral.bmp,5,999.9609,2998.1169,1983.313,-1,-1,1,0,1,0,0,1000,1,1
TV10_Face2.gazedata,3,control.bmp,5,998.4949,2974.9431,1985.644,-1,-1,0,1985.644,0,0,1,-1,-1,0
TV10_Face2.gazedata,4,fearful.bmp,4,1002.7461,2966.6128,1302.729,266.7048,283.3599,1,0,0.98722,0,0,266.7048,0.1373,0.74077
TV10_Face2.gazedata,5,neutral.bmp,4,999.9412,2966.814,1316.7571,283.481,300.145,1,0,0.98734,0,0,283.481,0.15704,0.85356
TV10_Face2.gazedata,6,happy.bmp,4,999.8511,2966.8711,1983.4351,-1,-1,1,0,1,0,0,1000,1,0.8409
TV10_Face2.gazedata,7,neutral.bmp,4,1000.0181,2978.9832,1316.6909,283.3662,300.0381,1,0,0.98734,0,0,283.3662,0.1569,0.58413
TV10_Face2.gazedata,8,happy.bmp,5,1007.4399,2956.127,1991.604,-1,-1,0.016129,1058.501,1,0,1,-1,-1,1
TV10_Face2.gazedata,9,neutral.bmp,5,310.595,1222.0542,1300.9211,-1,-1,0,1300.9211,0,0,1,-1,-1,0
TV10_Face2.gazedata,10,control.bmp,4,18.1611,456.9009,492.0801,-1,-1,0.31034,247.53,1,0,1,-1,-1,1
TV10_Face2.gazedata,11,control.bmp,4,718.2988,798.7349,1533.5178,-1,-1,0,1533.5178,0,0,1,-1,-1,0
TV10_Face2.gazedata,12,fearful.bmp,4,132.8779,667.6589,817.2988,-1,-1,0.2,649.7148,1,0,1,-1,-1,1
TV10_Face2.gazedata,13,happy.bmp,5,1000.1199,2206.99,1985.7561,-1,-1,0.75833,484.8242,1,0,1,-1,-1,1
TV10_Face2.gazedata,14,happy.bmp,4,266.656,766.636,1049.958,-1,-1,0,1049.958,0,0,1,-1,-1,0
TV10_Face2.gazedata,15,control.bmp,5,83.3298,166.6602,266.656,-1,-1,0,266.656,0,0,1,-1,-1,0
TV19_Face1.gazedata,0,fearful.bmp,4,999.9758,2983.2349,1999.969,-1,-1,1,0,1,0,0,1000,1,1
TV19_Face1.gazedata,1,happy.bmp,5,1000.1189,2967.2751,1383.3909,349.9321,366.5959,1,0,0.98795,0,0,349.9321,0.23521,0.84923
TV19_Face1.gazedata,2,fearful.bmp,4,999.9912,2982.9819,1466.874,433.54,450.2048,1,0,0.98864,0,0,433.54,0.33358,0.89597
TV19_Face1.gazedata,3,neutral.bmp,5,999.9458,2983.9399,1516.6228,483.3411,500.0149,1,0,0.98901,0,0,483.3411,0.39217,0.83735
TV19_Face1.gazedata,4,happy.bmp,5,999.938,2983.3711,1483.241,449.978,466.635,1,0,0.98877,0,0,449.978,0.35292,0.82914
TV19_Face1.gazedata,5,happy.bmp,4,1000.0242,2966.1108,1499.78,466.4771,483.1399,1,0,0.98889,0,0,466.4771,0.37233,0.91641
TV19_Face1.gazedata,6,control.bmp,4,999.949,2983.3591,1566.5259,533.2871,549.9509,1,0,0.98936,0,0,533.2871,0.45093,0.92501
TV19_Face1.gazedata,7,fearful.bmp,5,1000.0288,2967.0911,1433.2649,399.9221,416.584,1,0,0.98837,0,0,399.9221,0.29403,0.90363
TV19_Face1.gazedata,8,happy.bmp,4,1000.064,2982.5769,1399.8682,366.5139,383.1321,1,0,0.98813,0,0,366.5139,0.25472,0.96668
TV19_Face1.gazedata,9,neutral.bmp,5,1000.085,2966.7988,1999.959,-1,-1,1,0,1,0,0,1000,1,1
TV19_Face1.gazedata,10,neutral.bmp,4,1000.084,2983.387,1983.4451,-1,-1,1,0,1,0,0,1000,1,0.89165
TV19_Face1.gazedata,11,control.bmp,5,999.9102,2983.9561,1416.4761,383.239,399.9021,1,0,0.98824,0,0,383.239,0.2744,0.89564
TV19_Face1.gazedata,12,control.bmp,5,999.936,2968.197,1299.9731,266.7141,283.3792,1,0,0.98718,0,0,266.7141,0.13731,0.82398
TV19_Face1.gazedata,13,fearful.bmp,5,1000.1731,2966.533,1999.824,-1,-1,1,0,1,0,0,1000,1,1
TV19_Face1.gazedata,14,control.bmp,4,999.8779,2982.6082,1516.0339,482.8291,499.4861,0.98913,16.6741,0.98901,1,1,-1,-1,0.78748
TV19_Face1.gazedata,15,neutral.bmp,4,999.895,2949.8931,1299.8979,266.6609,283.3369,1,0,0.98717,0,0,266.6609,0.13725,0.91597
