filename,trial number,condition,target,face up,target up,analysis perioid len,last time in center aoi,first time in side aoi,valid gaze c %,longest non-valid combined,% inside center aoi bef disengagement,aoi border violation ,technical error,combination,csaccpindex,all time center
TV03_Face1.gazedata,0,neutral.bmp,4,983.5791,2987.1711,1968.3882,-1,-1,0.85593,117.9971,0.796,0,0,1000,1,0.42046
TV03_Face1.gazedata,1,fearful.bmp,4,983.3162,2984.804,1966.8091,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face1.gazedata,2,fearful.bmp,4,983.7231,2986.9092,1968.7329,-1,-1,1,0,0.66994,0,1,-1,-1,0.66286
TV03_Face1.gazedata,3,neutral.bmp,5,983.428,2983.8809,1966.9731,-1,-1,0.95763,83.2971,1,0,0,1000,1,1
TV03_Face1.gazedata,4,happy.bmp,5,983.467,2983.7458,1967.1511,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face1.gazedata,5,neutral.bmp,5,983.9629,2983.3281,1983.873,-1,-1,0.98319,15.0959,1,0,0,1000,1,1
TV03_Face1.gazedata,6,happy.bmp,4,985.2588,2974.0129,1985.1169,-1,-1,0.96639,49.979,0.96642,0,0,1000,1,0.4805
TV03_Face1.gazedata,7,fearful.bmp,5,983.084,2985.04,1968.1169,-1,-1,0.51695,517.3188,0.33882,0,1,-1,-1,0.6748
TV03_Face1.gazedata,8,control.bmp,5,975.5291,2982.53,1974.2229,-1,-1,0.70085,185.8821,0.26274,0,1,-1,-1,0.12993
TV03_Face1.gazedata,9,control.bmp,4,985.8569,2979.3372,1972.7839,-1,-1,1,0,1,0,0,1000,1,0.65635
TV03_Face1.gazedata,10,happy.bmp,5,983.627,2984.092,1967.4729,-1,-1,1,0,1,0,0,1000,1,0.77505
TV03_Face1.gazedata,11,fearful.bmp,5,985.656,2985.9429,1969.002,-1,-1,0.84034,98.271,0.80149,0,0,1000,1,0.75615
TV03_Face1.gazedata,12,happy.bmp,4,983.3779,2983.4668,1983.2939,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face1.gazedata,13,control.bmp,4,983.197,2979.1301,1968.5979,-1,-1,0.43697,1118.6499,0.42331,0,1,-1,-1,0.42895
TV03_Face1.gazedata,14,control.bmp,5,983.2549,2987.6121,1349.9209,316.6421,333.3411,1,0,0.98763,0,0,316.6421,0.19605,0.80422
TV03_Face1.gazedata,15,neutral.bmp,4,983.364,2971.1489,1966.7759,-1,-1,0.94915,83.3081,1,0,0,1000,1,0.82449
TV03_Face2.gazedata,0,control.bmp,4,983.29,2999.292,1966.9021,-1,-1,0.67521,516.9209,0.5338,0,1,-1,-1,0.35687
TV03_Face2.gazedata,1,neutral.bmp,4,983.282,2953.1128,1967.0142,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face2.gazedata,2,neutral.bmp,5,986.696,2982.582,1407.887,370.384,387.498,0.88095,117.1089,0.98784,0,0,370.384,0.25928,0.68978
TV03_Face2.gazedata,3,happy.bmp,5,986.363,2975.8179,1972.634,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face2.gazedata,4,happy.bmp,5,985.0042,2988.7732,1971.9072,-1,-1,1,0,1,0,0,1000,1,0.51289
TV03_Face2.gazedata,5,control.bmp,5,983.2939,2984.043,1966.7161,-1,-1,1,0,1,0,0,1000,1,0.89988
TV03_Face2.gazedata,6,fearful.bmp,5,983.3269,2984.688,1467.9111,434.5889,451.2471,0.36364,824.3989,0.35774,0,1,-1,-1,0.34367
TV03_Face2.gazedata,7,control.bmp,5,983.053,2979.989,1974.3301,-1,-1,0.90598,68.1931,0.94937,0,0,1000,1,0.46888
TV03_Face2.gazedata,8,neutral.bmp,5,988.3069,2973.343,1984.3159,-1,-1,0.077465,1681.583,1,0,1,-1,-1,1
TV03_Face2.gazedata,9,fearful.bmp,4,984.2361,2980.9832,1972.5481,-1,-1,0.79487,321.063,1,0,1,-1,-1,0.92475
TV03_Face2.gazedata,10,fearful.bmp,4,985.6272,2990.4971,1405.615,369.9971,386.6479,0.82143,116.856,0.98815,0,0,369.9971,0.25882,0.36307
TV03_Face2.gazedata,11,fearful.bmp,5,983.344,2972.8469,1967.865,-1,-1,0.94915,83.335,1,0,0,1000,1,1
TV03_Face2.gazedata,12,control.bmp,4,993.1609,2977.188,1979.189,-1,-1,0.64407,169.353,0.49338,0,1,-1,-1,0.2439
TV03_Face2.gazedata,13,neutral.bmp,4,995.2651,2972.854,1985.3369,-1,-1,0.784,243,0.66094,0,1,-1,-1,0.60701
TV03_Face2.gazedata,14,happy.bmp,4,983.5029,2983.231,1966.886,-1,-1,1,0,1,0,0,1000,1,1
TV03_Face2.gazedata,15,happy.bmp,4,983.5051,2966.4871,1983.4331,-1,-1,1,0,1,0,0,1000,1,0.91629
TV09_Face1.gazedata,0,happy.bmp,5,983.1489,2983.9148,1516.5288,483.3779,500.0488,1,0,0.98901,0,0,483.3779,0.39221,0.84988
TV09_Face1.gazedata,1,control.bmp,5,983.6731,2988.9241,1983.1931,-1,-1,0.7479,499.5881,0.7397,0,1,-1,-1,0.44142
TV09_Face1.gazedata,2,fearful.bmp,4,983.4241,2982.9771,1966.8552,-1,-1,1,0,1,0,0,1000,1,0.84594
TV09_Face1.gazedata,3,neutral.bmp,5,983.3472,2983.8701,1349.9521,316.6121,333.2771,1,0,0.98766,0,0,316.6121,0.19601,0.86655
TV09_Face1.gazedata,4,neutral.bmp,4,983.165,2970.281,1966.6169,-1,-1,0.94915,49.9819,1,0,0,1000,1,1
TV09_Face1.gazedata,5,control.bmp,4,983.261,2984.3599,1366.6721,333.386,350.061,0.97561,16.666,0.9878,1,1,-1,-1,0.52069
TV09_Face1.gazedata,6,control.bmp,5,983.4141,2983.1929,1666.6411,633.2119,649.8931,0.99,16.6111,0.98999,0,0,633.2119,0.56848,0.4125
TV09_Face1.gazedata,7,fearful.bmp,5,983.1721,2983.5259,1983.1631,-1,-1,0.9916,16.7278,1,0,0,1000,1,1
TV09_Face1.gazedata,8,fearful.bmp,5,983.3901,2983.8379,1983.3501,-1,-1,1,0,1,0,0,1000,1,0.82493
TV09_Face1.gazedata,9,happy.bmp,4,983.3372,2983.636,1966.9102,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face1.gazedata,10,neutral.bmp,4,987.5068,2955.1511,1973.9949,-1,-1,0.18487,1587.4768,1,0,1,-1,-1,1
TV09_Face1.gazedata,11,happy.bmp,4,983.335,2983.396,1966.7769,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face1.gazedata,12,happy.bmp,5,983.3291,2983.9822,1333.458,300.1172,316.793,1,0,0.98749,0,0,300.1172,0.17661,0.85407
TV09_Face1.gazedata,13,fearful.bmp,4,983.426,2982.9641,1966.783,-1,-1,0.98305,16.6189,0.92375,0,0,1000,1,0.96251
TV09_Face1.gazedata,14,neutral.bmp,5,983.2009,2983.937,1966.637,-1,-1,0.97458,33.3162,1,0,0,1000,1,1
TV09_Face1.gazedata,15,control.bmp,4,983.25,2866.7051,1466.4951,433.2661,449.9221,0.89773,49.3201,0.98864,0,0,433.2661,0.33325,0.60509
TV09_Face2.gazedata,0,happy.bmp,4,984.0869,2983.302,1967.449,-1,-1,0.86441,166.7139,1,0,0,1000,1,1
TV09_Face2.gazedata,1,fearful.bmp,5,983.3499,2984.946,1968.002,-1,-1,0.76271,332.4919,1,0,1,-1,-1,1
TV09_Face2.gazedata,2,fearful.bmp,5,999.939,2983.4321,1983.3601,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face2.gazedata,3,happy.bmp,5,983.2791,2983.178,1983.2771,-1,-1,0.9916,16.7139,1,0,0,1000,1,1
TV09_Face2.gazedata,4,control.bmp,5,983.2639,2976.7131,1716.5969,683.3271,699.99,1,0,0.99029,0,0,683.3271,0.62744,0.59482
TV09_Face2.gazedata,5,control.bmp,4,983.3469,2983,1283.365,250.0129,266.676,1,0,0.98702,0,0,250.0129,0.11766,0.54592
TV09_Face2.gazedata,6,neutral.bmp,4,983.426,2983.207,1983.2039,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face2.gazedata,7,happy.bmp,5,983.1711,2983.3621,1966.7041,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face2.gazedata,8,fearful.bmp,4,983.0278,2983.7341,1966.8069,-1,-1,0.94915,66.855,1,0,0,1000,1,1
TV09_Face2.gazedata,9,control.bmp,5,983.4399,3000.405,1300.166,266.707,283.3801,1,0,0.98718,0,0,266.707,0.1373,0.84222
TV09_Face2.gazedata,10,neutral.bmp,4,983.343,2969.6001,1983.334,-1,-1,1,0,1,0,0,1000,1,0.74002
TV09_Face2.gazedata,11,neutral.bmp,5,983.217,2983.519,1983.147,-1,-1,0.9916,16.666,1,0,0,1000,1,1
TV09_Face2.gazedata,12,fearful.bmp,4,984.3711,2999.9429,1967.7122,-1,-1,0.9661,33.2888,1,0,0,1000,1,1
TV09_Face2.gazedata,13,neutral.bmp,5,983.3188,2983.394,1983.1819,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face2.gazedata,14,happy.bmp,4,983.1609,2983.6489,1966.7869,-1,-1,1,0,1,0,0,1000,1,1
TV09_Face2.gazedata,15,control.bmp,4,987.5161,2946.2979,1449.894,411.8989,429.0459,0.056818,1137.51,0.98817,1,1,-1,-1,0.88648
TV11_Face1.gazedata,0,control.bmp,5,983.3281,2970.7151,1949.9551,916.6101,933.2761,1,0,0.99145,0,0,916.6101,0.90189,0.48485
TV11_Face1.gazedata,1,fearful.bmp,5,983.304,2983.5662,1983.2148,-1,-1,1,0,0.92438,0,0,1000,1,0.91668
TV11_Face1.gazedata,2,neutral.bmp,5,983.313,2983.5691,1450.051,416.7271,433.4001,0.98851,16.668,0.977,1,1,-1,-1,0.60421
TV11_Face1.gazedata,3,control.bmp,5,983.905,2992.98,1633.79,599.9629,616.5801,1,0,0.98983,0,0,599.9629,0.52937,0.40327
TV11_Face1.gazedata,4,happy.bmp,4,983.2349,2999.7949,1183.261,150.019,166.6899,0.90141,100.0601,0.98591,0,0,150.019,2.2403e-05,0.93776
TV11_Face1.gazedata,5,control.bmp,4,983.4031,2975.4968,1316.7969,283.324,300.0498,1,0,0.9873,0,0,283.324,0.15685,0.5469
TV11_Face1.gazedata,6,fearful.bmp,5,974.7971,2982.7061,1974.2261,-1,-1,0.95763,66.6541,0.95778,0,0,1000,1,0.97911
TV11_Face1.gazedata,7,neutral.bmp,4,1000.071,2983.366,1283.4089,233.3362,250.009,1,0,0.98701,0,0,233.3362,0.098043,0.31536
TV11_Face1.gazedata,8,fearful.bmp,4,983.522,2992.7959,1866.8521,833.3118,849.9829,1,0,0.99107,0,0,833.3118,0.8039,0.46143
