filename,trialnum,condition,target,face_up,target_up,analysis_p_len,ltcenteraoi,ftsideaoi,valid_gaze_percent,longest_nv_combined,pfix_center_bef_disengagement,aoi_border_violation,technical_error,combination,csaccpindex
TV03_SRT1.gazedata,0,4,6,483.1951,2316.8469,766.4199,216.6091,249.8979,1,0,0.95657,0,0,216.6091,0.078364
TV03_SRT1.gazedata,1,4,3,483.332,2566.717,966.696,400.0239,450.0269,1,0,0.94827,0,0,400.0239,0.29415
TV03_SRT1.gazedata,2,3,3,483.333,3000.074,1466.7119,900.0769,950.0549,1,0,0.96593,0,0,900.0769,0.88244
TV03_SRT1.gazedata,3,2,6,483.2339,2300.3521,749.842,199.938,233.25,1,0,0.95557,0,0,199.938,0.058751
TV03_SRT1.gazedata,4,4,5,483.3259,2299.6299,750.011,200.0249,233.356,1,0,0.95556,0,0,200.0249,0.058853
TV03_SRT1.gazedata,5,2,5,483.25,2549.9551,1016.5349,466.6589,499.937,0.98361,14.9819,0.96726,0,0,466.6589,0.37254
TV03_SRT1.gazedata,6,2,4,483.905,2434.3979,767.1831,216.625,249.958,0.97826,15.2212,0.95655,0,0,216.625,0.078382
TV03_SRT1.gazedata,7,3,5,483.3281,2299.9302,749.978,199.9922,233.3191,1,0,0.95556,0,0,199.9922,0.058814
TV03_SRT1.gazedata,8,3,4,483.585,3569.9409,1483.4558,-1,-1,0.86517,16.708,0.69673,0,1,-1,-1
TV03_SRT1.gazedata,9,3,6,483.4631,2333.0862,783.3281,233.199,266.5271,1,0,0.95745,0,0,233.199,0.097881
TV03_SRT1.gazedata,10,2,3,483.136,2433.761,916.5769,333.4419,400.1128,1,0,0.92726,0,0,333.4419,0.21581
TV03_SRT1.gazedata,11,4,4,477.5229,2270.531,733.7019,187.7729,221.939,1,0,0.95343,0,0,187.7729,0.044439
TV03_SRT2.gazedata,0,3,5,483.6599,11564.2031,1468.3088,-1,-1,0.875,16.708,0.51181,0,1,-1,-1
TV03_SRT2.gazedata,1,2,6,479.563,2342.604,789.3721,220.0601,273.3821,0.56,269.908,0.93245,1,1,-1,-1
TV03_SRT2.gazedata,2,2,3,483.3101,2283.7529,749.9502,216.658,233.3201,1,0,0.97778,0,0,216.658,0.078421
TV03_SRT2.gazedata,3,4,4,483.6782,2318.5049,766.936,216.5498,249.9128,1,0,0.9565,0,0,216.5498,0.078294
TV03_SRT2.gazedata,4,2,5,490.5032,2273.6851,777.0801,202.428,252.835,0.9375,16.666,0.93513,0,0,202.428,0.06168
TV03_SRT2.gazedata,5,2,4,483.0991,2299.384,749.938,216.8481,233.519,1,0,0.97777,0,0,216.8481,0.078645
TV03_SRT2.gazedata,6,4,6,483.2239,2452.158,1468.3359,-1,-1,0.94253,66.6489,0.40853,0,1,-1,-1
TV03_SRT2.gazedata,7,4,3,483.5552,2316.8811,766.969,216.7561,250.084,1,0,0.95655,0,0,216.7561,0.078537
TV03_SRT2.gazedata,8,3,4,483.3601,3640.522,1483.28,-1,-1,1,0,1,0,0,1000,1
TV03_SRT2.gazedata,9,3,6,483.2681,27777.6719,1467.53,-1,-1,0.78409,317.6509,0.87512,0,1,-1,-1
TV03_SRT2.gazedata,10,3,3,483.2729,3270.2219,1466.8391,-1,-1,1,0,1,0,0,1000,1
TV03_SRT2.gazedata,11,4,5,493.5569,3116.5271,1493.4019,-1,-1,0.98876,17.804,0.9107,0,0,1000,1
TV03_SRT3.gazedata,0,4,3,483.2332,3285.4932,1466.2551,-1,-1,0.75,317.8589,0.32957,0,1,-1,-1
TV03_SRT3.gazedata,1,3,5,483.3181,2334.4121,799.8569,249.874,283.209,1,0,0.95832,0,0,249.874,0.1175
TV03_SRT3.gazedata,2,3,3,483.7729,2261.075,734.356,167.1101,217.249,1,0,0.93172,0,0,167.1101,0.02013
TV03_SRT3.gazedata,3,3,4,466.853,2315.3992,733.5361,200.0142,233.3501,1,0,0.95455,0,0,200.0142,0.05884
TV03_SRT3.gazedata,4,2,3,483.5679,2950.095,1400.1641,849.981,883.3071,1,0,0.9762,0,0,849.981,0.82351
TV03_SRT3.gazedata,5,4,4,483.24,27650.175,1468.4871,-1,-1,0.375,918.5701,1,0,1,-1,-1
TV03_SRT3.gazedata,6,2,6,483.3269,17166.229,1467.8098,-1,-1,0.57647,651.302,1,0,1,-1,-1
TV03_SRT3.gazedata,7,2,4,483.282,3056.0068,1507.6641,956.178,989.509,1,0,0.97789,0,0,956.178,0.94844
TV03_SRT3.gazedata,8,4,6,483.394,2383.821,866.7849,316.635,349.9739,1,0,0.96154,0,0,316.635,0.19604
TV03_SRT3.gazedata,9,4,5,483.4258,25755.801,1473.0259,-1,-1,0.47727,772.936,0.4187,0,1,-1,-1
TV03_SRT3.gazedata,10,2,5,483.4548,2338.7429,816.8909,266.751,300.0969,1,0,0.95918,0,0,266.751,0.13735
TV03_SRT3.gazedata,11,3,6,471.449,4063.843,1464.186,-1,-1,0.80682,182,1,0,0,1000,1
TV09_SRT1.gazedata,0,3,3,483.6199,2584.1541,1050.22,499.9402,533.2661,1,0,0.96827,0,0,499.9402,0.41169
TV09_SRT1.gazedata,1,4,4,484.5708,2566.49,1017.9119,466.646,499.9919,0.96721,16.1841,0.96724,0,0,466.646,0.37252
TV09_SRT1.gazedata,2,3,4,16.5562,2699.4299,633.1851,566.7209,583.374,1,0,0.9737,0,1,-1,-1
TV09_SRT1.gazedata,3,4,6,483.1912,2600.854,1066.5161,516.6899,550.0171,1,0,0.96875,0,0,516.6899,0.4314
TV09_SRT1.gazedata,4,4,3,483.2761,2499.457,966.3921,416.449,449.78,1,0,0.96551,0,0,416.449,0.31347
TV09_SRT1.gazedata,5,4,5,484.083,2967.25,1450.6221,899.8899,933.2139,0.98851,0,0.90757,0,0,899.8899,0.88222
TV09_SRT1.gazedata,6,2,4,483.3691,2602.2419,1050.0132,499.979,533.3081,1,0,0.96826,0,0,499.979,0.41174
TV09_SRT1.gazedata,7,3,5,489.416,2716.6482,1489.396,-1,-1,0.96591,16.666,0.2055,0,1,-1,-1
TV09_SRT1.gazedata,8,2,6,483.386,2499.9968,966.8621,416.7539,450.146,1,0,0.96546,0,0,416.7539,0.31383
TV09_SRT1.gazedata,9,2,3,483.344,2499.406,949.969,399.9409,433.2878,1,0,0.9649,0,0,399.9409,0.29405
TV09_SRT1.gazedata,10,2,5,483.283,2452.395,933.145,383.1941,416.5251,1,0,0.96428,0,0,383.1941,0.27435
TV09_SRT1.gazedata,11,3,6,483.3528,2599.9978,1100.054,550.0288,583.3669,0.9697,15.3931,0.96969,0,0,550.0288,0.47062
TV09_SRT2.gazedata,0,3,3,483.251,2400.845,833.0989,283.22,316.5349,1,0,0.96001,0,0,283.22,0.15673
TV09_SRT2.gazedata,1,2,6,484.583,15786.4729,1467.9729,-1,-1,0.96591,15.655,1,0,0,1000,1
TV09_SRT2.gazedata,2,4,4,483.3391,2699.499,1149.8801,599.906,633.1912,0.84058,150.0032,0.65219,0,1,-1,-1
TV09_SRT2.gazedata,3,3,4,483.2949,2583.355,1049.967,500.0149,533.3459,0.96825,16.6599,0.96826,0,0,500.0149,0.41178
TV09_SRT2.gazedata,4,2,4,484.2141,2416.231,884.2939,333.4131,366.761,0.56604,231.99,0.96229,0,1,-1,-1
TV09_SRT2.gazedata,5,4,3,483.2371,2453.9661,850.0562,300.157,333.4851,1,0,0.96079,0,0,300.157,0.17666
TV09_SRT2.gazedata,6,4,5,484.6538,2763.886,1217.9219,683.927,700.5979,0.90411,33.2981,0.98631,0,0,683.927,0.62815
TV09_SRT2.gazedata,7,2,3,467.8599,8550.887,1467.689,-1,-1,0.97701,15.9951,0.18222,0,1,-1,-1
TV09_SRT2.gazedata,8,2,5,467.929,2488.5391,952.481,416.814,450.113,0.68421,83.2839,0.96504,0,0,416.814,0.3139
TV09_SRT2.gazedata,9,4,6,483.374,2949.907,1399.998,850.0229,883.365,0.9881,16.6912,0.97618,0,0,850.0229,0.82356
TV09_SRT2.gazedata,10,3,6,483.4849,2650.1099,1100.282,533.5039,583.5081,0.93939,16.749,0.95455,0,0,533.5039,0.45118
TV09_SRT2.gazedata,11,3,5,483.4229,2519.897,1000.106,450.0071,483.3411,0.98333,0,0.96667,0,0,450.0071,0.35295
TV09_SRT3.gazedata,0,3,3,487.1602,2551.9221,1004.0042,450.1941,483.5151,0.88525,83.3301,0.88021,0,0,450.1941,0.35317
TV09_SRT3.gazedata,1,2,3,483.011,2752.207,1233.9912,700.6479,717.6541,0.17568,1000.823,0.98622,0,1,-1,-1
TV09_SRT3.gazedata,2,3,5,486.2231,2643.969,1096.9202,544.0068,577.343,0.26562,419.395,0.6028,0,1,-1,-1
TV09_SRT3.gazedata,3,4,3,485.344,2572.781,1051.908,483.2329,533.228,0.93651,16.6602,0.95247,0,0,483.2329,0.39204
TV09_SRT3.gazedata,4,4,4,483.626,2416.469,850.1118,299.834,333.158,0.98039,16.666,0.9608,0,0,299.834,0.17628
TV09_SRT3.gazedata,5,3,6,483.6431,2555.2168,987.5381,453.2478,470.6089,0.75,83.78,0.98242,1,1,-1,-1
TV09_SRT3.gazedata,6,2,5,483.3188,2466.896,933.283,383.2849,416.6279,1,0,0.96427,0,0,383.2849,0.27445
TV09_SRT3.gazedata,7,3,4,483.311,2599.6492,1066.709,516.75,550.0811,1,0,0.96875,0,0,516.75,0.43147
TV09_SRT3.gazedata,8,4,6,483.314,5126.2051,1483.2739,-1,-1,0,1483.2739,1,0,1,-1,-1
TV09_SRT3.gazedata,9,2,4,483.481,2432.9309,866.7952,316.6538,349.979,1,0,0.96155,0,0,316.6538,0.19606
TV09_SRT3.gazedata,10,4,5,484.948,3233.3501,1468.3599,-1,-1,0.96591,16.0291,0.11469,0,1,-1,-1
TV09_SRT3.gazedata,11,2,6,483.3569,2616.675,1066.6799,516.6951,549.9971,1,0,0.96878,0,0,516.6951,0.43141
TV11_SRT1.gazedata,0,4,6,483.3821,2533.365,1000.1379,450.095,483.427,1,0,0.96667,0,0,450.095,0.35305
TV11_SRT1.gazedata,1,4,5,483.364,2349.9329,833.385,283.3489,316.6819,1,0,0.96,0,0,283.3489,0.15688
TV11_SRT1.gazedata,2,3,6,483.4331,2383.179,833.1711,283.072,316.4031,1,0,0.95999,0,0,283.072,0.15656
TV11_SRT1.gazedata,3,2,4,483.2659,2632.8691,1083.1938,533.4021,566.604,1,0,0.96935,0,0,533.4021,0.45106
TV11_SRT1.gazedata,4,2,6,486.9858,2333.3979,786.8838,233.23,266.5769,0.97872,16.1938,0.95762,0,0,233.23,0.097918
